7zip	23.01+dfsg-11
libpcre2-posix3	10.42-4ubuntu2.1
libperl5.38t64	5.38.2-3.2ubuntu0.2
libpipeline1	1.5.7-2
libpixman-1-0	0.42.2-1build1
libplist-2.0-4	2.3.0-1~exp2build2
libplymouth5	24.004.60-1ubuntu7.1
libpng16-16t64	1.6.43-5build1
libpolkit-agent-1-0	124-2ubuntu1.24.04.2
libpolkit-gobject-1-0	124-2ubuntu1.24.04.2
libpopt0	1.19+dfsg-1build1
libproc2-0	2:4.0.4-4ubuntu3.2
libprotobuf-c1	1.4.1-1ubuntu4
libpsl5t64	0.21.2-1.1build1
libpython3-stdlib	3.12.3-0ubuntu2.1
libpython3.12-minimal	3.12.3-1ubuntu0.9
libpython3.12-stdlib	3.12.3-1ubuntu0.9
libpython3.12t64	3.12.3-1ubuntu0.9
libqmi-glib5	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqrtr-glib0	1.2.2-1ubuntu4
libraw23t64	0.21.2-2.1ubuntu0.24.04.1
libreadline8t64	8.2-4build1
libreiserfscore0t64	1:3.6.27-7.1build1
librrd8t64	1.7.2-4.1ubuntu3
librtmp1	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db	2.1.28+dfsg1-5ubuntu3.1
libseccomp2	2.5.5-1ubuntu3.1
libselinux1	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5	1:3.6.0-9build1
libsepol2	3.5-2build1
libsframe1	2.42-4ubuntu2.7
libsgutils2-1.46-2	1.46-3ubuntu4
libsharpyuv0	1.3.2-0.4build3
libsigsegv2	2.14-1ubuntu2
libslang2	2.3.3-3build2
libsm6	2:1.2.3-1build3
libsmartcols1	2.39.3-9ubuntu6.3
libsnappy1v5	1.1.10-1build1
libsodium23	1.0.18-1build3
libsort-naturally-perl	1.03-4
libsqlite3-0	3.45.1-1ubuntu2.5
libss2	1.47.0-2.4~exp1ubuntu4.1
libssh-4	0.10.6-2ubuntu0.2
libssh2-1t64	1.11.0-4.1build2
libssl3t64	3.0.13-0ubuntu3.6
libstdc++6	14.2.0-4ubuntu2~24.04
libstemmer0d	2.2.0-4build1
libsystemd-shared	255.4-1ubuntu8.11
libsystemd0	255.4-1ubuntu8.11
libtasn1-6	4.19.0-3ubuntu0.24.04.1
libtcl8.6	8.6.14+dfsg-1build1
libterm-readkey-perl	2.38-2build4
libtext-charwidth-perl	0.04-11build3
libtext-iconv-perl	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0	0.1.29-2build1
libtiff6	4.5.1+git230720-4ubuntu2.4
libtimedate-perl	2.3300-2
libtinfo6	6.4+20240113-1ubuntu2
